Designator,Mid X,Mid Y,Rotation,Layer
D1,266.409375,-61.653125,270.0,bottom
D10,230.209375,-74.096875,270.0,bottom
D11,248.309375,-79.753125,270.0,bottom
D12,266.409375,-79.753125,270.0,bottom
D13,175.909375,-94.459375,270.0,bottom
D14,194.009375,-93.328125,270.0,bottom
D15,212.109375,-89.934375,270.0,bottom
D16,230.209375,-92.196875,270.0,bottom
D17,248.309375,-97.853125,270.0,bottom
D18,266.409375,-97.853125,270.0,bottom
D19,175.909375,-112.559375,270.0,bottom
D2,194.009375,-57.128125,270.0,bottom
D20,194.009375,-111.428125,270.0,bottom
D21,212.109375,-108.034375,270.0,bottom
D22,230.209375,-110.296875,270.0,bottom
D23,248.309375,-115.953125,270.0,bottom
D24,266.409375,-115.953125,270.0,bottom
D25,157.809375,-101.246875,270.0,bottom
D26,156.1125,-136.315625,255.0,bottom
D27,177.040625,-130.659375,270.0,bottom
D28,195.140625,-129.528125,270.0,bottom
D29,213.240625,-129.528125,270.0,bottom
D3,212.109375,-53.734375,270.0,bottom
D30,157.809375,-83.146875,270.0,bottom
D31,398.765596,-101.2,270.0,bottom
D32,401.028096,-134.571875,285.0,bottom
D33,380.665596,-76.3125,270.0,bottom
D34,380.665596,-94.4125,270.0,bottom
D35,380.665596,-112.5125,270.0,bottom
D35'1,176.5,-64.45625,180.0,bottom
D35'2,386.887471,-57.646875,0.0,bottom
D36,379.534346,-130.6125,270.0,bottom
D37,362.565596,-57.08125,270.0,bottom
D38,362.565596,-75.18125,270.0,bottom
D39,362.565596,-93.28125,270.0,bottom
D4,230.209375,-55.996875,270.0,bottom
D40,362.565596,-111.38125,270.0,bottom
D41,361.434346,-129.48125,270.0,bottom
D42,344.465596,-53.6875,270.0,bottom
D43,344.465596,-71.7875,270.0,bottom
D44,344.465596,-89.8875,270.0,bottom
D45,344.465596,-107.9875,270.0,bottom
D46,343.334346,-129.48125,270.0,bottom
D47,326.365596,-55.95,270.0,bottom
D48,326.365596,-74.05,270.0,bottom
D49,326.365596,-92.15,270.0,bottom
D5,248.309375,-61.653125,270.0,bottom
D50,326.365596,-110.25,270.0,bottom
D51,308.265596,-61.60625,270.0,bottom
D52,308.265596,-79.70625,270.0,bottom
D53,308.265596,-97.80625,270.0,bottom
D54,308.265596,-115.90625,270.0,bottom
D55,290.165596,-61.60625,270.0,bottom
D56,290.165596,-79.70625,270.0,bottom
D57,290.165596,-97.80625,270.0,bottom
D58,290.165596,-115.90625,270.0,bottom
D6,398.765596,-83.1,270.0,bottom
D7,175.909375,-76.359375,270.0,bottom
D8,194.009375,-75.228125,270.0,bottom
D9,212.109375,-71.834375,270.0,bottom
R1,161.334375,-65.6125,180.0,bottom
R2,161.334375,-62.6625,180.0,bottom
R3,405.553096,-64.434375,0.0,top
R4,405.553096,-62.171875,0.0,top
S1,269.803125,-64.48125,0.0,top
S10,233.603125,-76.925,0.0,top
S11,251.703125,-82.58125,0.0,top
S12,269.803125,-82.58125,0.0,top
S13,179.303125,-97.2875,0.0,top
S14,197.403125,-96.15625,0.0,top
S15,215.503125,-92.7625,0.0,top
S16,233.603125,-95.025,0.0,top
S17,251.703125,-100.68125,0.0,top
S18,269.803125,-100.68125,0.0,top
S19,179.303125,-115.3875,0.0,top
S2,197.403125,-59.95625,0.0,top
S20,197.403125,-114.25625,0.0,top
S21,215.503125,-110.8625,0.0,top
S22,233.603125,-113.125,0.0,top
S23,251.703125,-118.78125,0.0,top
S24,269.803125,-118.78125,0.0,top
S25,161.203125,-104.075,0.0,top
S26,160.071875,-138.0125,15.0,top
S27,180.434375,-133.4875,0.0,top
S28,198.534375,-132.35625,0.0,top
S29,216.634375,-132.35625,0.0,top
S3,215.503125,-56.5625,0.0,top
S30,402.159346,-85.928125,0.0,top
S31,402.159346,-104.028125,0.0,top
S32,403.290596,-137.965625,345.0,top
S33,384.059346,-79.140625,0.0,top
S33'1,179.328125,-61.0625,90.0,top
S33'2,384.059346,-61.040625,270.0,top
S34,384.059346,-97.240625,0.0,top
S35,384.059346,-115.340625,0.0,top
S36,382.928096,-133.440625,0.0,top
S37,365.959346,-59.909375,0.0,top
S38,365.959346,-78.009375,0.0,top
S39,365.959346,-96.109375,0.0,top
S4,233.603125,-58.825,0.0,top
S40,365.959346,-114.209375,0.0,top
S41,364.828096,-132.309375,0.0,top
S42,347.859346,-56.515625,0.0,top
S43,347.859346,-74.615625,0.0,top
S44,347.859346,-92.715625,0.0,top
S45,347.859346,-110.815625,0.0,top
S46,346.728096,-132.309375,0.0,top
S47,329.759346,-58.778125,0.0,top
S48,329.759346,-76.878125,0.0,top
S49,329.759346,-94.978125,0.0,top
S5,251.703125,-64.48125,0.0,top
S50,329.759346,-113.078125,0.0,top
S51,311.659346,-64.434375,0.0,top
S52,311.659346,-82.534375,0.0,top
S53,311.659346,-100.634375,0.0,top
S54,311.659346,-118.734375,0.0,top
S55,293.559346,-64.434375,0.0,top
S56,293.559346,-82.534375,0.0,top
S57,293.559346,-100.634375,0.0,top
S58,293.559346,-118.734375,0.0,top
S6,161.203125,-85.975,0.0,top
S7,179.303125,-79.1875,0.0,top
S8,197.403125,-78.05625,0.0,top
S9,215.503125,-74.6625,0.0,top
SW1,161.76875,-122.175,90.0,top
SW2,403.251846,-122.378125,270.0,top
